rank,ticker,name,commodity,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
140,TOE.AX,Toro Energy Ltd.,uranium,small,0.56,-10.4,-8.77,-1.63,-10.34,4.76,FLAT,-27.2,-27.82,0.62,-10.4,64.52,MED,1.2597,-,1,18.518,commodities_top_jan_2026,2026-01-29,72
141,OKLO,Oklo Inc.,uranium,large,72.51,-15.73,-8.77,-6.96,-6.46,41.37,FLAT,-47.02,-27.82,-19.2,-15.73,51.61,LOW,0.9425,SHIFT,0,18.459,commodities_top_jan_2026,2026-01-29,72
142,PMET.TO,PMET RESOURCES INC,lithium,mid,7.21,4.34,-8.77,13.11,5.65,48.54,FLAT,-42.84,-27.82,-15.02,-2.57,28.95,LOW,0.8892,-,1,18.435,commodities_top_jan_2026,2026-01-29,72
143,KDK.V,Kodiak Copper Class B,copper,small,0.95,-12.04,-8.77,-3.27,-1.69,2.62,FLAT,-34.51,-27.82,-6.69,-15.93,58.75,LOW,0.8127,-,1,18.324,commodities_top_jan_2026,2026-01-29,72
144,NXE.TO,Nexgen Energy,uranium,large,16.61,-7.31,-8.77,1.46,-14.11,2.33,FLAT,-17.02,-27.82,10.8,-8.48,69.35,LOW,0.9718,-,1,18.149,commodities_top_jan_2026,2026-01-29,72
145,2362.HK,JInchuan Group Interntional,copper,large,0.64,0.0,-8.77,8.77,-12.16,-2.93,STRONG_DOWN,0.0,-27.82,27.82,0.0,76.25,LOW,,EARLY,0,18.037,commodities_top_jan_2026,2026-01-29,72
146,PDN.AX,Paladin Energy,uranium,large,12.49,-11.67,-8.77,-2.9,-10.94,-3.73,STRONG_DOWN,-28.43,-27.82,-0.61,-14.1,62.9,LOW,0.6643,-,1,17.893,commodities_top_jan_2026,2026-01-29,72
147,TFPM,Triple Flag Precious Metals,gold,large,33.38,-10.62,-8.77,-1.85,-5.65,-9.25,FLAT,-26.03,-27.82,1.79,-19.18,63.81,LOW,0.9327,-,1,17.866,commodities_top_jan_2026,2026-01-29,72
148,RSG.AX,Resolute Mining,gold,mid,1.29,-11.03,-8.77,-2.26,-3.76,-16.93,FLAT,-29.27,-27.82,-1.45,-21.34,60.95,MED,1.146,-,1,17.816,commodities_top_jan_2026,2026-01-29,72
149,SQM,QUIMICA Y MINERA CHIL-SP ADR,lithium,large,91.39,13.22,-8.77,21.99,-9.17,9.62,STRONG_DOWN,-15.73,-27.82,12.09,-3.02,42.11,LOW,0.7542,-,1,17.802,commodities_top_jan_2026,2026-01-29,72
150,THM,International Tower Hill Mines,gold,mid,2.54,-15.05,-8.77,-6.28,-2.68,-5.24,STRONG_UP,-45.15,-27.82,-17.33,-29.64,49.52,LOW,0.5093,-,1,17.543,commodities_top_jan_2026,2026-01-29,72
151,ALB,ALBEMARLE CORP,lithium,large,203.52,12.91,-8.77,21.68,-5.43,14.27,STRONG_DOWN,-19.8,-27.82,8.02,-5.61,36.84,MED,1.4243,-,1,17.318,commodities_top_jan_2026,2026-01-29,72
152,TGB,"ticker
TGB         Taseko Mines
TGB    Taseko Mines Ltd.
Name: name, dtype: object",copper,mid,7.49,-12.91,-8.77,-4.14,-2.82,-0.19,FLAT,-35.47,-27.82,-7.65,-15.65,55.0,MED,1.1022,-,1,17.139,commodities_top_jan_2026,2026-01-29,72
153,OGC.TO,Oceanagold Corp,gold,large,43.65,-11.85,-8.77,-3.08,-4.67,-10.28,FLAT,-31.6,-27.82,-3.78,-24.85,57.14,LOW,0.9795,-,1,17.044,commodities_top_jan_2026,2026-01-29,72
154,CMM.AX,Capricorn Metals,gold,mid,13.63,-14.72,-8.77,-5.95,2.38,8.51,FLAT,-41.12,-27.82,-13.3,-14.72,51.43,LOW,0.8829,-,1,17.039,commodities_top_jan_2026,2026-01-29,72
155,300207.SZ,SUNWODA ELECTRONIC CO LTD-A,lithium,large,26.73,12.98,-8.77,21.75,-15.83,9.61,STRONG_DOWN,-16.0,-27.82,11.82,-10.93,39.47,LOW,0.887,EARLY,0,16.995,commodities_top_jan_2026,2026-01-29,72
156,AR1.AX,Austral Resources Australia,copper,small,0.105,-16.0,-8.77,-7.23,24.2,23.57,STRONG_UP,-44.8,-27.82,-16.98,-16.0,48.75,HIGH,1.6892,-,0,16.827,commodities_top_jan_2026,2026-01-29,72
157,SLVR.V,Silver Tiger Metals,silver,small,0.86,-19.63,-8.77,-10.86,-1.9,-1.76,FLAT,-38.32,-27.82,-10.5,-19.63,60.0,LOW,0.4083,-,1,16.806,commodities_top_jan_2026,2026-01-29,72
158,HYMC,Hycroft Mining Holding,gold,mid,38.44,-15.94,-8.77,-7.17,-5.65,-0.43,FLAT,-46.18,-27.82,-18.36,-31.04,45.71,LOW,0.4832,-,1,16.353,commodities_top_jan_2026,2026-01-29,72
159,FISH.V,Sailfish Royalty Corp.,gold,small,3.64,-11.65,-8.77,-2.88,-8.75,-2.1,FLAT,-26.84,-27.82,0.98,-21.21,59.05,LOW,0.2067,-,1,16.269,commodities_top_jan_2026,2026-01-29,72
160,DNN,Denison Mines Corp,uranium,mid,3.74,-11.79,-8.77,-3.02,-12.69,2.12,FLAT,-24.49,-27.82,3.33,-14.42,61.29,LOW,0.4982,-,1,16.18,commodities_top_jan_2026,2026-01-29,72
161,PZG,Paramount Gold Nevada Ord Shs,gold,small,1.44,-16.76,-8.77,-7.99,-7.81,-16.71,FLAT,-48.31,-27.82,-20.49,-46.07,43.81,LOW,0.3104,-,1,16.094,commodities_top_jan_2026,2026-01-29,72
162,KTN.V,Kootenay Silver,silver,small,1.62,-21.74,-8.77,-12.97,1.93,10.35,FLAT,-41.7,-27.82,-13.88,-27.35,56.67,MED,1.4008,-,0,15.977,commodities_top_jan_2026,2026-01-29,72
163,LAM.TO,Laramide Resources,uranium,small,0.74,-12.94,-8.77,-4.17,-10.79,4.31,FLAT,-28.41,-27.82,-0.59,-15.91,58.06,LOW,0.7805,-,1,15.927,commodities_top_jan_2026,2026-01-29,72
164,ODV,Osisko Development,gold,mid,3.28,-15.25,-8.77,-6.48,-0.59,-3.54,STRONG_UP,-40.79,-27.82,-12.97,-31.38,48.57,LOW,0.5996,PROGRESS,0,15.87,commodities_top_jan_2026,2026-01-29,72
165,WA1.AX,WA1 Resources,copper,mid,15.75,-12.21,-8.77,-3.44,-8.13,0.75,FLAT,-28.04,-27.82,-0.22,-12.21,56.25,LOW,0.6025,SHIFT,0,15.565,commodities_top_jan_2026,2026-01-29,72
166,SVRS.V,Silver Storm Mining,silver,small,0.53,-24.29,-8.77,-15.52,0.61,7.48,FLAT,-50.0,-27.82,-22.18,-30.26,50.0,LOW,0.3775,-,1,15.446,commodities_top_jan_2026,2026-01-29,72
167,LAC.TO,LITHIUM AMERICAS CORP,lithium,mid,7.63,4.38,-8.77,13.15,-10.83,32.59,FLAT,-30.1,-27.82,-2.28,-6.72,31.58,LOW,0.9739,-,1,15.418,commodities_top_jan_2026,2026-01-29,72
168,BMN.AX,Bannerman Energy Ltd.,uranium,mid,4.01,-14.68,-8.77,-5.91,-13.87,0.42,FLAT,-32.24,-27.82,-4.42,-18.16,54.84,LOW,0.6534,-,1,15.414,commodities_top_jan_2026,2026-01-29,72
169,CCJ,Cameco Ord Shs,uranium,large,116.75,-12.66,-8.77,-3.89,-13.44,-2.32,FLAT,-24.03,-27.82,3.79,-12.66,59.68,LOW,0.64,-,1,15.211,commodities_top_jan_2026,2026-01-29,72
170,DRD,Drdgold Ltd,gold,mid,30.23,-14.0,-8.77,-5.23,0.98,-8.32,FLAT,-32.15,-27.82,-4.33,-21.53,53.33,MED,1.4597,-,1,15.206,commodities_top_jan_2026,2026-01-29,72
171,PRU.AX,Perseus Mining,gold,large,5.52,-13.01,-8.77,-4.24,-10.69,-5.58,STRONG_DOWN,-28.14,-27.82,-0.32,-13.01,55.24,LOW,0.7359,-,1,14.972,commodities_top_jan_2026,2026-01-29,72
172,S32.AX,South32 Ord Shs,copper,large,4.14,-10.45,-8.77,-1.68,-10.94,-13.52,FLAT,-18.64,-27.82,9.18,-12.51,61.25,MED,1.0277,-,1,14.949,commodities_top_jan_2026,2026-01-29,72
173,FNV,Franco-Nevada Corp,gold,large,232.11,-11.18,-8.77,-2.41,-8.52,-14.19,FLAT,-20.62,-27.82,7.2,-17.21,60.0,MED,1.1002,-,1,14.876,commodities_top_jan_2026,2026-01-29,72
174,VISC.ST,Gruvaktiebolaget Viscaria Class B,copper,mid,17.5,-14.84,-8.77,-6.07,-0.69,2.23,FLAT,-33.63,-27.82,-5.81,-14.84,51.25,HIGH,2.2904,-,1,14.69,commodities_top_jan_2026,2026-01-29,72
175,NGEX.TO,NGEX Minerals,copper,large,26.61,-14.22,-8.77,-5.45,-3.19,-7.66,FLAT,-30.62,-27.82,-2.8,-16.43,52.5,LOW,0.3224,-,1,14.41,commodities_top_jan_2026,2026-01-29,72
176,KGC,Kinross Gold Corp,gold,large,31.51,-13.8,-8.77,-5.03,-3.09,-9.63,FLAT,-28.16,-27.82,-0.34,-14.71,54.29,LOW,0.5504,-,1,14.377,commodities_top_jan_2026,2026-01-29,72
177,PUCOBRE.SN,Sociedad Punta Del Cobre,copper,large,15627.0,-12.91,-8.77,-4.14,-7.29,5.57,FLAT,-27.18,-27.82,0.64,-13.22,53.75,LOW,0.6006,-,1,14.277,commodities_top_jan_2026,2026-01-29,72
178,EXK,Endeavour Silver Corp,silver,mid,10.03,-23.78,-8.77,-15.01,-1.82,3.54,FLAT,-41.27,-27.82,-13.45,-28.51,53.33,MED,1.0928,-,1,14.03,commodities_top_jan_2026,2026-01-29,72
179,IMPUY,Impala Platinum,palladium,large,16.47,-21.48,-8.77,-12.71,6.24,3.32,STRONG_UP,-41.01,-27.82,-13.19,-24.22,50.0,LOW,0.2419,-,1,13.873,commodities_top_jan_2026,2026-01-29,72
180,ZIM.AX,Zimplats Holdings,platinum,mid,16.4,-31.78,-8.77,-23.01,-10.99,-11.31,STRONG_UP,-36.15,-27.82,-8.33,-31.78,66.67,LOW,0.58,EARLY,0,13.296,commodities_top_jan_2026,2026-01-29,72
181,AMG.AS,AMG CRITICAL MATERIALS N.V.,lithium,mid,38.4,5.67,-8.77,14.44,-3.5,16.1,FLAT,-18.58,-27.82,9.24,-0.88,34.21,LOW,0.6539,-,1,13.267,commodities_top_jan_2026,2026-01-29,72
182,SFR.AX,"ticker
SFR.AX            Sandfire Resources
SFR.AX    Sandfire Resources Ord Shs
Name: name, dtype: object",copper,large,18.01,-15.49,-8.77,-6.72,-4.64,0.75,FLAT,-30.92,-27.82,-3.1,-15.49,50.0,LOW,0.7358,-,1,13.242,commodities_top_jan_2026,2026-01-29,72
183,LA.V,Los Andes Copper,copper,small,14.58,-17.86,-8.77,-9.09,-17.79,24.96,FLAT,-40.7,-27.82,-12.88,-23.14,42.5,LOW,0.0366,-,1,12.978,commodities_top_jan_2026,2026-01-29,72
184,CKG.V,Chesapeake Gold,gold,small,3.29,-17.75,-8.77,-8.98,-7.05,-6.45,FLAT,-40.59,-27.82,-12.77,-30.44,41.9,LOW,0.2747,-,1,12.809,commodities_top_jan_2026,2026-01-29,72
185,UEC,Uranium Energy Corp,uranium,large,15.16,-18.49,-8.77,-9.72,-9.86,9.11,FLAT,-35.0,-27.82,-7.18,-18.49,48.39,LOW,0.785,-,1,12.783,commodities_top_jan_2026,2026-01-29,72
186,GAU,Galiano Gold,gold,mid,2.58,-17.57,-8.77,-8.8,1.0,-7.38,STRONG_UP,-38.94,-27.82,-11.12,-27.73,42.86,LOW,0.4825,-,1,12.674,commodities_top_jan_2026,2026-01-29,72
187,EVN.AX,Evolution Mining,gold,large,13.05,-16.03,-8.77,-7.26,-5.02,-6.62,STRONG_UP,-34.17,-27.82,-6.35,-25.3,44.76,LOW,0.8902,-,1,12.429,commodities_top_jan_2026,2026-01-29,72
188,AGE.AX,Alligator Energy Ltd.,uranium,small,0.044,-20.0,-8.77,-11.23,-4.84,1.83,FLAT,-40.0,-27.82,-12.18,-20.0,43.55,LOW,0.3663,-,1,12.227,commodities_top_jan_2026,2026-01-29,72
189,WSTRF,,Unknown,small,0.584,-19.0,-8.77,-10.23,-11.12,-1.37,FLAT,-48.72,-27.82,-20.9,-25.13,33.33,LOW,0.3967,-,1,12.177,commodities_top_jan_2026,2026-01-29,72
190,OR,Osisko Gold royalties_financial_services,gold,large,38.42,-15.82,-8.77,-7.05,-5.7,-5.52,FLAT,-31.13,-27.82,-3.31,-19.38,46.67,LOW,0.8274,-,1,12.174,commodities_top_jan_2026,2026-01-29,72
191,FM.TO,First Quantum Minerals,copper,large,35.0,-16.11,-8.77,-7.34,0.6,-10.93,FLAT,-30.03,-27.82,-2.21,-16.11,47.5,MED,1.364,-,1,11.977,commodities_top_jan_2026,2026-01-29,72
192,PSAB.JK,J Resources Asia,gold,large,510.0,-14.29,-8.77,-5.52,-14.08,-2.93,FLAT,-22.69,-27.82,5.13,-14.29,52.38,LOW,0.8454,EARLY,0,11.967,commodities_top_jan_2026,2026-01-29,72
193,EME.AX,Energy Metals,uranium,small,0.089,-15.24,-8.77,-6.47,-11.02,-5.13,FLAT,-21.82,-27.82,6.0,-19.09,53.23,HIGH,4.1193,-,1,11.581,commodities_top_jan_2026,2026-01-29,72
194,AAG.V,Aftermath Silver,silver,small,0.82,-24.77,-8.77,-16.0,-1.35,0.86,FLAT,-47.54,-27.82,-19.72,-32.79,40.0,LOW,0.4608,-,0,11.516,commodities_top_jan_2026,2026-01-29,72
195,CDE,Coeur Mining Inc,silver,large,18.56,-24.46,-8.77,-15.69,-6.46,-11.23,STRONG_UP,-40.44,-27.82,-12.62,-31.64,46.67,LOW,0.7217,-,1,11.511,commodities_top_jan_2026,2026-01-29,72
196,RRL.AX,Regis Resources,gold,mid,6.85,-18.12,-8.77,-9.35,-16.62,-10.74,STRONG_DOWN,-39.58,-27.82,-11.76,-28.52,39.05,MED,1.1226,-,1,11.503,commodities_top_jan_2026,2026-01-29,72
197,PUR.V,Premier American Uranium Inc.,uranium,small,0.69,-20.69,-8.77,-11.92,-9.17,8.36,FLAT,-41.11,-27.82,-13.29,-23.33,40.32,LOW,0.3009,-,0,11.315,commodities_top_jan_2026,2026-01-29,72
198,USL.AX,Unico Silver,silver,small,0.73,-24.74,-8.77,-15.97,17.04,12.94,STRONG_UP,-43.43,-27.82,-15.61,-26.26,43.33,LOW,0.9662,-,1,11.294,commodities_top_jan_2026,2026-01-29,72
199,FSY.TO,Forsys Metals Corp,uranium,small,0.38,-19.15,-8.77,-10.38,-12.16,-0.23,FLAT,-31.91,-27.82,-4.09,-19.15,46.77,LOW,0.2329,-,0,11.106,commodities_top_jan_2026,2026-01-29,72
200,UROY,Uranium Royalty Corp.,uranium,small,4.0,-19.52,-8.77,-10.75,-7.17,8.8,FLAT,-33.8,-27.82,-5.98,-19.52,45.16,HIGH,1.6118,-,1,11.042,commodities_top_jan_2026,2026-01-29,72
201,TUD.V,Tudor Gold,gold,small,1.08,-18.8,-8.77,-10.03,1.53,7.27,FLAT,-39.6,-27.82,-11.78,-27.52,38.1,LOW,0.2331,-,1,10.952,commodities_top_jan_2026,2026-01-29,72
202,2899.HK,Zijin Mining Group H,copper,large,38.5,-16.56,-8.77,-7.79,-4.62,2.66,FLAT,-29.52,-27.82,-1.7,-16.56,45.0,MED,1.0187,-,1,10.894,commodities_top_jan_2026,2026-01-29,72
203,B,"ticker
B    Barrick Mining
B    Barrick Mining
Name: name, dtype: object",copper,large,43.13,-16.44,-8.77,-7.67,0.33,-3.9,STRONG_UP,-28.05,-27.82,-0.23,-16.44,46.25,MED,1.0763,-,1,10.876,commodities_top_jan_2026,2026-01-29,72
204,NG,Novagold Resources,gold,mid,8.75,-20.31,-8.77,-11.54,-2.1,-10.63,STRONG_UP,-45.56,-27.82,-17.74,-38.38,32.38,LOW,0.7485,EARLY,0,10.42,commodities_top_jan_2026,2026-01-29,72
205,TSLA,TESLA INC,lithium,large,428.35,2.83,-8.77,11.6,-3.03,19.82,FLAT,-20.25,-27.82,7.57,-0.48,26.32,MED,1.0424,-,1,10.265,commodities_top_jan_2026,2026-01-29,72
206,MMA.V,Midnight Sun Mining,copper,small,1.25,-16.67,-8.77,-7.9,-7.99,-8.24,FLAT,-28.67,-27.82,-0.85,-16.67,43.75,HIGH,1.731,-,1,10.22,commodities_top_jan_2026,2026-01-29,72
207,USAS,Americas Gold & Silver,gold,mid,6.63,-23.35,-8.77,-14.58,1.17,15.25,FLAT,-53.44,-27.82,-25.62,-33.9,27.62,LOW,0.6631,-,1,10.14,commodities_top_jan_2026,2026-01-29,72
208,BOL.ST,"ticker
BOL.ST            Boliden
BOL.ST    Boliden Ord Shs
BOL.ST    Boliden Ord Shs
BOL.ST    Boliden Ord Shs
Name: name, dtype: object",copper,large,512.8,-19.82,-8.77,-11.05,-4.56,-4.44,FLAT,-35.79,-27.82,-7.97,-27.43,40.0,MED,1.4942,-,1,9.971,commodities_top_jan_2026,2026-01-29,72
209,SYH.V,Skyharbour Resources Ltd.,uranium,small,0.47,-20.34,-8.77,-11.57,-18.16,-5.02,FLAT,-33.9,-27.82,-6.08,-20.34,41.94,MED,1.1065,-,1,9.778,commodities_top_jan_2026,2026-01-29,72
210,BIG.V,Hercules Metals,copper,small,0.62,-18.42,-8.77,-9.65,-12.16,-10.4,STRONG_DOWN,-31.93,-27.82,-4.11,-25.3,41.25,LOW,0.4506,-,0,9.748,commodities_top_jan_2026,2026-01-29,72
211,GGD.TO,Gogold Resources Inc,gold,mid,3.0,-19.14,-8.77,-10.37,3.67,6.56,FLAT,-37.74,-27.82,-9.92,-19.14,36.19,LOW,0.3395,-,1,9.685,commodities_top_jan_2026,2026-01-29,72
212,LUG.TO,Lundin Gold Inc,gold,large,95.99,-17.94,-8.77,-9.17,-2.79,-21.81,FLAT,-31.2,-27.82,-3.38,-24.34,40.95,LOW,0.7837,EARLY,0,9.631,commodities_top_jan_2026,2026-01-29,72
213,YCA.L,Yellow Cake PLC,uranium,mid,584.0,-16.99,-8.77,-8.22,-15.23,-5.6,FLAT,-20.33,-27.82,7.49,-16.99,50.0,LOW,0.5964,-,1,9.465,commodities_top_jan_2026,2026-01-29,72
214,WRN,Western Copper and Gold Ord Shs,gold,mid,3.08,-20.0,-8.77,-11.23,-0.97,9.07,FLAT,-39.74,-27.82,-11.92,-20.0,34.29,MED,1.4695,-,1,9.371,commodities_top_jan_2026,2026-01-29,72
215,AHR.V,Amarc Resources,copper,small,1.08,-22.86,-8.77,-14.09,3.97,9.57,FLAT,-40.71,-27.82,-12.89,-22.86,36.25,HIGH,1.9733,-,0,9.106,commodities_top_jan_2026,2026-01-29,72
216,GSVR.V,Guanajuato Silver Co Ltd,silver,small,0.65,-28.57,-8.77,-19.8,-1.99,1.91,FLAT,-47.25,-27.82,-19.43,-28.57,36.67,LOW,0.5666,-,1,8.91,commodities_top_jan_2026,2026-01-29,72
217,RGLD,Royal Gold Inc,gold,large,238.91,-18.03,-8.77,-9.26,-7.57,-13.39,FLAT,-29.27,-27.82,-1.45,-21.34,40.0,LOW,0.8375,-,1,8.731,commodities_top_jan_2026,2026-01-29,72
218,ALDE.V,Aldebaran Resources,copper,small,2.78,-24.86,-8.77,-16.09,-2.28,-2.21,FLAT,-47.84,-27.82,-20.02,-24.86,30.0,LOW,0.2983,-,0,8.57,commodities_top_jan_2026,2026-01-29,72
219,JLL.AX,Jindalee Lithium,uranium,small,0.48,-24.41,-8.77,-15.64,-26.44,-3.96,FLAT,-41.41,-27.82,-13.59,-29.93,35.48,HIGH,4.3857,-,0,8.465,commodities_top_jan_2026,2026-01-29,72
220,010130.KS,Korea Zinc Ord Shs,copper,large,1559000.0,-20.42,-8.77,-11.65,-13.43,-4.57,FLAT,-32.77,-27.82,-4.95,-26.29,38.75,LOW,0.7726,-,1,8.45,commodities_top_jan_2026,2026-01-29,72
221,WGX.TO,Westgold Resources,gold,mid,5.6,-20.0,-8.77,-11.23,-4.05,-17.04,FLAT,-37.45,-27.82,-9.63,-27.18,33.33,LOW,0.3439,-,1,8.396,commodities_top_jan_2026,2026-01-29,72
222,247540.KQ,ECOPRO BM CO LTD,lithium,large,237500.0,-3.41,-8.77,5.36,3.13,10.98,FLAT,-32.68,-27.82,-4.86,-3.41,15.79,LOW,0.9858,-,1,8.339,commodities_top_jan_2026,2026-01-29,72
223,ATYM.L,Atalaya Mining Copper SA,copper,mid,815.0,-21.48,-8.77,-12.71,-2.84,3.19,FLAT,-35.05,-27.82,-7.23,-22.38,37.5,LOW,0.5242,-,1,8.335,commodities_top_jan_2026,2026-01-29,72
224,CS.TO,"ticker
CS.TO    Capstone Copper
CS.TO    Capstone Copper
Name: name, dtype: object",copper,large,12.62,-24.25,-8.77,-15.48,4.26,0.93,STRONG_UP,-43.28,-27.82,-15.46,-24.25,32.5,MED,1.1453,-,1,8.196,commodities_top_jan_2026,2026-01-29,72
