rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
8,14,0358.HK,Jiangxi Copper H,copper,producer,large,41.06,1.4993,1.1956,1.1227,0.8898,STRONG_UP,23.46,214.17,176.97,-38.62,52.65,60.26,4.1414,HIGH,-,35.2746,36.3478,35.181,1,187.1254,TREND+LEAD,62.9819
10,4,ENS,ENERSYS,lithium,producer,large,227.95,1.2095,1.0204,1.081,1.1254,STRONG_DOWN,63.09,175.9,117.84,-18.32,59.2,44.48,2.1317,HIGH,-,230.4532,219.4405,164.1654,1,234.1142,TREND+LEAD,62.0911
11,36,CXU.AX,Cauldron Energy,uranium,producer,small,0.12,8.8141,1.9711,2.6229,5.0711,STRONG_DOWN,500.0,1100.0,344.44,-44.44,37.55,201.81,4.5331,HIGH,-,0.0573,0.0568,0.0318,1,204.6727,TREND+LEAD,61.1578
13,3,HL,Hecla Mining Co,silver,producer,large,15.96,1.5541,1.0183,0.9941,0.8758,STRONG_UP,-17.74,176.95,201.14,-55.81,53.6,66.96,2.5265,HIGH,EARLY,16.3453,17.7105,17.7403,0,141.6431,WEAK,59.2861
14,5,KGH.WA,"ticker
KGH.WA            KGHM Polska Miedz
KGH.WA    KGHM Polska Miedz Ord Shs
KGH.WA    KGHM Polska Miedz Ord Shs
Name: name, dtype: object",copper,producer,large,374.3,1.4672,1.0432,1.1049,1.1044,FLAT,52.78,207.43,169.24,-30.84,56.28,62.05,2.2395,HIGH,-,351.4375,335.527,262.629,1,188.1441,TREND+LEAD,58.6931
15,2,ALB,ALBEMARLE CORP,lithium,producer,large,160.35,1.2575,0.9434,0.9599,0.8365,FLAT,19.63,186.84,76.89,-31.72,56.4,63.75,2.0083,HIGH,-,165.6813,180.7748,145.4447,1,165.2945,TREND+LEAD,53.9641
20,19,AUGO,"ticker
AUGO    Aura Minerals
AUGO    Aura Minerals
Name: name, dtype: object",copper,producer,large,63.54,1.2884,1.0495,0.8163,0.8496,FLAT,33.77,169.97,169.97,-50.65,57.51,83.75,2.9055,HIGH,-,66.5915,79.5138,58.6913,1,116.7142,TREND+LEAD,51.5436
22,7,NEWP,New Pacific Metals,silver,explorer,mid,4.2,1.7991,0.8965,0.9133,1.1787,STRONG_DOWN,15.38,220.61,130.77,-41.19,52.8,74.33,2.7964,HIGH,-,4.645,5.0982,3.7334,1,156.7099,TREND+LEAD,50.7204
23,28,HCH.AX,Hot Chili,copper,producer,small,2.14,1.8912,1.1298,1.272,1.2858,STRONG_DOWN,79.83,296.3,131.35,-41.54,48.22,82.23,1.9188,HIGH,-,1.927,1.7654,1.3805,1,173.7493,TREND+LEAD,50.2978
24,-3,ELVR,ELEVRA LITHIUM LTD,lithium,producer,mid,86.95,1.6704,1.0316,1.0714,1.616,STRONG_DOWN,94.52,281.03,281.03,-35.83,51.5,92.11,11.3828,HIGH,-,85.7155,83.9942,52.2128,1,157.1253,TREND+LEAD,49.2945
25,38,UUUU,Energy Fuels Inc,uranium,producer,mid,16.56,2.2483,1.049,0.9923,0.9609,STRONG_UP,22.94,206.1,171.48,-51.28,51.2,87.51,2.6985,HIGH,EARLY,16.655,18.9034,18.3289,0,120.5841,WEAK,47.1209
29,15,SVM,Silvercorp Metals,silver,producer,mid,11.32,1.5624,0.9772,0.9653,1.1739,FLAT,30.4,178.43,216.11,-39.02,57.2,75.94,3.3846,HIGH,-,11.746,12.3433,9.5844,1,134.395,TREND+LEAD,46.0578
30,-5,1208.HK,MMG Ltd.,copper,producer,large,8.25,1.1683,0.9271,0.8807,0.7985,STRONG_UP,-1.43,144.81,166.99,-37.38,55.1,70.62,1.5551,HIGH,-,8.917,8.9418,8.1325,1,112.9832,TREND+LEAD,45.8468
36,18,ARIS,Aris Mining Corp,gold,producer,mid,16.62,1.5265,1.0145,0.9935,1.0018,FLAT,7.78,142.63,302.42,-37.3,59.6,65.41,1.66,HIGH,-,16.6585,18.1652,15.687,1,129.9589,TREND+LEAD,44.3831
