rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
56,0,FF.TO,First Mining Gold,gold,explorer,mid,0.415,1.4496,1.0016,1.0114,0.997,FLAT,-17.0,107.5,245.83,-50.62,44.4,74.51,3.1235,HIGH,EARLY,0.4815,0.4845,0.4544,0,64.0585,WEAK,32.8589
57,0,GMIN.TO,G Mining Venture,gold,explorer,large,32.76,1.2452,1.0191,0.8003,0.8461,FLAT,-5.65,78.24,317.86,-43.6,52.8,78.2,1.5988,HIGH,EARLY,41.3,47.3204,39.3047,0,52.8251,WEAK,32.8306
66,0,AU,Anglo Gold Ashanti,gold,producer,large,78.47,1.2612,0.9966,1.0019,1.0377,STRONG_DOWN,0.52,80.52,281.69,-37.03,54.0,66.18,1.6685,HIGH,EARLY,91.2408,96.5204,86.1302,0,65.7006,WEAK,31.6956
68,0,2899.HK,Zijin Mining Group H,copper,producer,large,29.72,0.8638,1.0536,0.9188,0.796,STRONG_UP,-7.89,59.45,87.15,-34.68,52.65,47.59,1.5847,HIGH,EARLY,33.2241,34.9264,34.1974,0,65.7693,WEAK,31.6692
69,0,UEC,Uranium Energy Corp,uranium,producer,large,9.42,1.2126,0.7909,0.7799,0.8015,FLAT,-32.52,50.0,69.12,-53.23,50.0,88.67,2.3509,HIGH,EARLY,13.2335,14.0104,13.9175,0,28.1944,WEAK,31.494
80,0,BRMS.JK,"ticker
BRMS.JK    Bumi Resources Minerals
BRMS.JK    Bumi Resources Minerals
Name: name, dtype: object",copper,producer,large,505.0,0.5653,1.1313,0.7788,0.6117,STRONG_UP,-48.99,4.34,255.63,-63.21,42.56,89.27,1.6679,HIGH,EARLY,611.1,734.44,864.38,0,2.0686,WEAK,29.8547
89,0,IMPUY,Impala Platinum,palladium,producer,large,11.36,1.2793,0.9088,0.8271,0.9498,FLAT,-9.66,31.51,153.24,-50.78,53.01,79.33,1.8174,HIGH,EARLY,14.0105,14.6776,14.1513,0,21.0564,WEAK,28.7974
96,0,SLX.AX,Silex Systems,uranium,producer,mid,5.21,1.2572,0.9787,1.1219,1.0586,FLAT,-39.21,55.52,-6.8,-53.38,52.96,75.32,1.8297,HIGH,EARLY,5.872,5.8504,6.7391,0,39.0396,WEAK,28.131
103,0,WGX.TO,Westgold Resources,gold,producer,mid,4.18,1.0816,0.9689,0.9737,0.9499,FLAT,-20.38,54.81,74.17,-45.64,52.0,58.46,2.0148,HIGH,EARLY,4.9595,5.5266,5.4309,0,48.7576,WEAK,27.7011
109,0,ASA,ASA Gold & Precious Metals,gold,royalties_financial_services,mid,52.4,1.1127,0.9855,0.976,1.009,FLAT,-2.69,59.28,203.19,-35.5,57.2,55.92,2.0035,HIGH,EARLY,61.4765,64.2535,57.8465,0,60.6331,WEAK,27.0443
128,0,AMMN.JK,"ticker
AMMN.JK    Amman Mineral Internasional
AMMN.JK    Amman Mineral Internasional
Name: name, dtype: object",copper,producer,large,3310.0,0.2235,1.1016,0.9531,0.5587,STRONG_UP,-52.37,-58.75,-72.13,-67.05,43.39,94.68,1.6672,HIGH,EARLY,3313.5,4397.8,6466.15,0,-26.9258,WEAK,24.8971
131,0,SA,Seabridge Gold Inc,gold,explorer,mid,25.06,1.2192,0.8615,1.004,1.0335,STRONG_DOWN,-14.47,74.51,70.48,-37.92,54.4,78.65,1.8778,HIGH,EARLY,30.861,30.6416,28.1626,0,51.5382,WEAK,24.7783
139,0,PDN.AX,Paladin Energy,uranium,producer,large,9.38,1.1793,0.9398,0.9479,0.9068,FLAT,11.27,45.88,-35.27,-35.49,51.78,74.85,1.8091,HIGH,EARLY,10.842,11.8546,10.3954,0,31.7381,WEAK,24.4694
143,0,1818.HK,Zhaojin Mining,gold,producer,large,18.52,0.6423,1.0493,0.8537,0.7769,STRONG_UP,-36.93,-8.06,37.86,-54.32,48.98,54.39,1.888,HIGH,EARLY,21.9683,27.1636,29.7872,0,-7.2607,WEAK,23.9068
154,0,CCJ,Cameco Ord Shs,uranium,producer,large,95.03,1.1604,0.9895,1.043,0.9881,FLAT,1.79,43.55,87.76,-29.13,50.8,57.16,2.0306,HIGH,EARLY,108.2485,113.9466,102.0714,0,38.7021,WEAK,23.1821
174,0,III.TO,Imperial Metals,copper,producer,mid,6.28,0.6324,1.0496,1.1118,0.7208,FLAT,-21.3,16.73,190.74,-54.57,51.6,72.3,2.2485,HIGH,EARLY,6.6345,7.1062,7.8902,0,11.9391,WEAK,21.2759
181,0,GMD.AX,Genesis Minerals,gold,producer,large,4.88,0.761,0.9682,0.985,0.9655,FLAT,-20.91,8.93,168.87,-42.04,51.38,67.03,1.5723,HIGH,EARLY,5.9095,6.13,6.3758,0,6.844,WEAK,20.6077
184,0,FNV,Franco-Nevada Corp,gold,royalties_financial_services,large,208.46,0.8861,1.0341,1.1576,1.0643,FLAT,2.9,26.84,78.26,-25.64,55.6,38.88,3.8335,HIGH,EARLY,226.076,237.943,224.4394,0,38.3838,WEAK,20.4557
223,0,PNR.AX,Pantoro Gold,gold,producer,mid,2.4,0.4777,0.9211,0.9209,0.8343,STRONG_UP,-49.69,-31.62,56.86,-63.36,50.99,71.21,1.6337,HIGH,EARLY,3.026,3.3514,4.6431,0,-22.6443,WEAK,17.4488
232,0,CHN.AX,Challice Mining,palladium,producer,mid,1.29,0.8625,0.9074,0.9782,0.972,FLAT,-22.05,-11.34,-12.84,-53.73,45.85,77.51,1.851,HIGH,EARLY,1.4595,1.5117,1.8615,0,-6.7081,WEAK,16.7096
238,0,BMN.AX,Bannerman Energy Ltd.,uranium,producer,mid,3.14,0.9652,0.9915,0.9829,0.9137,STRONG_UP,-2.79,19.39,-21.89,-35.92,47.83,75.76,1.5241,HIGH,EARLY,3.6255,3.9194,3.6758,0,12.2426,WEAK,16.2584
