rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
341,5,PRIM,PRIMORIS SERVICES CORP,Industrials,,mid,130.63,1.4145,1.2094,0.7333,0.7877,FLAT,5.81,82.68,139.99,-50.11,55.6,118.29,1.7714,HIGH,PROGRESS,130.3545,144.9097,136.3454,0,38.8627,WEAK,27.1615
430,941,VRRM,VERRA MOBILITY CORP CLASS A,Industrials,,mid,3.85,0.1239,0.2864,0.2391,0.2081,STRONG_UP,-81.73,-83.99,-85.63,-84.99,40.8,143.04,25.5644,HIGH,EARLY,13.397,14.1972,20.0759,0,-23.9574,WEAK,23.9553
483,-83,ZS,Zscaler,Technology,EDP Services,large,126.41,0.3859,0.7157,0.881,0.6919,FLAT,-54.91,-50.16,-23.0,-64.89,50.4,90.53,8.5296,HIGH,EARLY,154.1765,144.4252,222.923,0,-27.9272,WEAK,22.7413
572,192,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,large,95.87,0.8309,1.013,0.9256,0.6917,STRONG_UP,-4.37,7.31,-15.17,-38.53,49.6,38.86,1.8061,HIGH,PROGRESS,93.1865,100.238,109.4413,0,9.3292,WEAK,20.6834
643,-42,INTU,Intuit,Information Technology,Application Software,large,307.73,0.3184,0.7917,0.7289,0.7169,STRONG_UP,-52.66,-58.88,-47.96,-62.05,46.8,63.22,1.6584,HIGH,EARLY,376.4745,396.4825,552.1467,0,-43.5868,WEAK,19.0686
821,160,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,131.04,0.3213,1.0339,0.8727,0.645,STRONG_UP,-22.77,-58.5,-55.62,-64.46,47.6,44.55,1.6125,HIGH,PROGRESS,127.766,145.801,173.6728,0,-62.5038,WEAK,15.9778
845,36,PODD,Insulet Corporation,Health Care,Health Care Equipment,large,146.01,0.3494,0.921,0.7572,0.5318,STRONG_UP,-56.74,-54.87,-17.89,-58.62,46.8,48.64,1.9082,HIGH,EARLY,157.236,186.7584,270.6842,0,-52.7967,WEAK,15.5509
856,-51,ACHR,ARCHER AVIATION INC CLASS A,Industrials,,mid,6.55,0.4632,1.1193,1.0636,0.813,STRONG_UP,-11.96,-40.18,104.69,-63.78,47.6,59.26,1.6693,HIGH,SHIFT,6.1525,5.863,8.0102,0,-32.2763,WEAK,15.3934
881,-70,BRZE,BRAZE INC CLASS A,Information Technology,,mid,24.58,0.5276,1.0639,1.0402,1.1727,FLAT,-10.26,-31.85,-40.61,-57.09,48.0,78.69,1.616,HIGH,SHIFT,22.3575,22.0189,25.6092,0,-19.431,WEAK,14.9527
883,-118,CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary,,mid,18.27,0.7842,1.0115,0.8733,0.8054,STRONG_UP,-23.87,1.27,-46.66,-39.3,47.6,40.18,3.3518,HIGH,PROGRESS,18.26,18.8026,21.3124,0,1.5104,WEAK,14.9305
887,-120,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,,mid,81.42,0.7126,1.0762,0.9059,0.7534,STRONG_UP,24.1,-7.97,-46.57,-45.65,50.0,48.42,3.4194,HIGH,PROGRESS,76.8155,85.7986,90.9256,0,-8.2288,WEAK,14.8691
