rank,delta_rank,ticker,name,commodity,type,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
5,0,KCP.V,King Copper Discovery,copper,producer,small,0.81,2.4196,0.9099,0.895,0.7398,STRONG_UP,9.46,406.25,406.25,-47.77,44.4,77.07,1.5975,HIGH,-,0.8875,0.9262,0.7479,1,234.0405,TREND+LEAD,67.5742
9,13,002709.SZ,GUANGZHOU TINCI MATERIALS -A,lithium,producer,large,60.51,1.4492,1.0984,1.1119,1.0868,FLAT,77.91,245.29,176.04,-21.71,52.7,54.33,2.0162,HIGH,-,49.5527,46.1267,36.4111,1,237.927,TREND+LEAD,65.7553
11,16,EUR.AX,EUROPEAN LITHIUM LTD,lithium,producer,small,0.43,3.3421,1.4447,1.5297,1.5448,STRONG_DOWN,109.76,696.3,743.14,-67.74,38.74,136.67,2.1535,HIGH,-,0.2767,0.2528,0.1942,1,197.3697,TREND+LEAD,62.914
23,31,002466.SZ,TIANQI LITHIUM CORP-A,lithium,producer,large,80.03,1.1531,1.0397,1.2066,1.0072,FLAT,64.64,174.73,106.47,-23.05,54.77,52.2,2.2818,HIGH,-,65.7965,58.2514,51.2113,1,183.3368,TREND+LEAD,54.0474
35,1,HCH.AX,Hot Chili,copper,producer,small,1.885,1.8967,1.2692,1.3281,1.0472,FLAT,96.35,296.84,50.8,-41.54,46.64,86.33,2.0352,HIGH,-,1.5297,1.4885,1.1835,1,160.3697,TREND+LEAD,48.4393
45,-1,APM.TO,Andean Precious Metals,gold,producer,mid,6.36,1.8347,1.0045,1.0082,0.7788,FLAT,0.16,241.94,622.73,-51.34,55.2,80.41,0.3691,LOW,EARLY,6.955,7.6692,7.5721,0,166.0843,WEAK,46.0247
47,-1,CDE,Coeur Mining Inc,silver,producer,large,17.65,1.444,0.9879,0.9661,0.9142,STRONG_UP,-0.28,232.39,268.48,-40.44,53.2,78.76,0.6403,LOW,EARLY,19.1855,20.4848,17.7252,0,156.9736,WEAK,45.9291
54,-1,OKLO,Oklo Inc.,uranium,producer,large,70.4,1.185,0.9414,1.2809,0.9123,FLAT,-48.76,168.29,449.57,-73.83,50.8,97.46,0.9879,LOW,SHIFT,62.698,60.151,86.325,0,87.7208,WEAK,44.3316
57,0,SBSW,"ticker
SBSW    Sibanye Gold ADR
SBSW    Sibanye Gold ADR
Name: name, dtype: object",palladium,producer,large,12.07,1.9657,0.9755,1.0138,0.9936,FLAT,13.74,169.42,172.37,-45.72,56.4,70.14,0.4817,LOW,EARLY,12.7515,13.1689,12.0845,0,136.2321,WEAK,42.9985
71,50,002176.SZ,JIANGXI SPECIAL ELECTRIC -A,lithium,producer,large,16.05,0.9435,1.1283,1.3207,1.1833,FLAT,61.31,124.79,59.23,-28.5,51.45,57.77,3.1169,HIGH,-,12.03,10.7262,9.8361,1,111.138,TREND_ONLY,39.2054
83,-1,GROY,Gold Royalty Corp,gold,royalties_financial_services,mid,3.44,1.2642,1.0271,1.0151,0.8473,STRONG_UP,-8.51,135.62,73.74,-39.54,54.0,54.97,0.4947,LOW,EARLY,3.59,3.8082,3.7813,0,133.2234,WEAK,37.4302
85,-1,LEU,Centrus Energy -A,uranium,producer,mid,206.64,1.2431,0.9452,0.9877,0.7377,FLAT,-46.09,181.45,358.49,-61.35,51.2,90.62,0.517,LOW,SHIFT,198.683,198.34,252.0713,0,102.5182,WEAK,37.0318
86,47,FFM.TO,Firefly Metals,copper,producer,mid,1.87,1.2413,0.9116,1.0695,1.0552,FLAT,4.47,159.72,107.78,-36.4,46.8,76.59,2.8107,HIGH,-,1.9895,1.859,1.5785,1,97.5976,TREND+LEAD,36.901
96,-2,SLI.V,STANDARD LITHIUM LTD,lithium,producer,mid,5.34,1.1095,0.9416,0.932,0.6988,STRONG_UP,0.75,164.36,188.65,-43.01,54.4,78.54,0.9894,LOW,PROGRESS,5.04,5.372,5.3486,0,113.84,WEAK,34.9852
